sku,product_name,price,local_image_filename
06740,SELLEYS SUPA GLUE 3ML,MVR 40.00,scraped_images_veligaa\06740.jpg
06741,SELLEYS SUPA GLUE 3 X 1G SINGLE SHOT,MVR 45.00,scraped_images_veligaa\06741.jpg
06742,SELLEYS KNEAD IT UNDERWATER 50G,MVR 140.00,scraped_images_veligaa\06742.jpg
06743,SELLEYS KNEAD IT STEEL 50G,MVR 130.00,scraped_images_veligaa\06743.jpg
06744,SELLEYS KNEAD IT MULTIPURPOSE 50G,MVR 65.00,scraped_images_veligaa\06744.jpg
06745,SELLEYS EPOXY FIX SUPER FAST 35ML,MVR 75.00,scraped_images_veligaa\06745.jpg
06746,SELLEYS EPOXY FIX SUPER STEEL 35ML,MVR 80.00,scraped_images_veligaa\06746.jpg
06747,SELLEYS EPOXY FIX SUPER STRONG 35ML,MVR 130.00,scraped_images_veligaa\06747.jpg
06748,SELLEYS KWIK GRIP 15ML,MVR 70.00,scraped_images_veligaa\06748.jpg
06749,SELLEYS NO MORE GAPS  450G,MVR 55.00,scraped_images_veligaa\06749.jpg
06750,SELLEYS NO MORE GAPS WHITE TUBE 320G,MVR 80.00,scraped_images_veligaa\06750.jpg
06751,SELLEYS BLOCKADE 360G,MVR 120.00,scraped_images_veligaa\06751.jpg
06752,SELLEYS WET AREA SPEED SEAL 300G WHITE,MVR 200.00,scraped_images_veligaa\06752.jpg
06753,SELLEYS WET AREA SPEED SEAL 300G CLEAR,MVR 105.00,scraped_images_veligaa\06753.jpg
06754,SELLEYS ALL CLEAR MULTIPURPOSE SEALANT 75G TUBE,MVR 130.00,scraped_images_veligaa\06754.jpg
06755,SELLEYS SILICONE SEALANT CLEAR 75G TUBE,MVR 105.00,scraped_images_veligaa\06755.jpg
06756,SELLEYS SILICONE SEALANT ANTI FUNGUS S601 300G,MVR 90.00,scraped_images_veligaa\06756.jpg
06758,SELLEYS LIQUID NAILS HIGH STRENGTH 320G,MVR 90.00,scraped_images_veligaa\06758.jpg
06759,SELLEYS LIQUID NAILS HIGH STRENGTH 75G TUBE,MVR 85.00,scraped_images_veligaa\06759.jpg
06760,SELLEYS LIQUID NAILS MIRROR ALUMINIUM 310G,MVR 90.00,scraped_images_veligaa\06760.jpg
06761,SELLEYS LIQUID NAILS MIRROR ALUMINIUM 75G TUBE,MVR 70.00,scraped_images_veligaa\06761.jpg
06762,SELLEYS LIQUID NAILS HEAVY DUTY 350G,MVR 125.00,scraped_images_veligaa\06762.jpg
06763,SELLEYS MOUNTING TAPE 18MM X 2M EXTERIOR GREY,MVR 85.00,scraped_images_veligaa\06763.jpg
06764,SELLEYS MOUNTING TAPE 24MM X 2M CLEAR,MVR 90.00,scraped_images_veligaa\06764.jpg
06797,SELLEYS SHOE GLUE 15ML,MVR 85.00,scraped_images_veligaa\06797.jpg
06801,SELLEYS SILICONE SEALANT S501 410G,MVR 75.00,scraped_images_veligaa\06801.jpg
06804,SELLEYS SILICONE SEALANT GP S301 300G,MVR 80.00,scraped_images_veligaa\06804.jpg
06808,SELLEYS HIGH TEMP RTV SILICONE 85G,MVR 50.00,scraped_images_veligaa\06808.jpg
07108,SELLEYS PROSERIES FLEXISEAL 600ML FOIL SAUSAGE,MVR 200.00,scraped_images_veligaa\07108.jpg
07125,SELLEYS PROSERIES FIREBLOCK 430G,MVR 110.00,scraped_images_veligaa\07125.jpg
06767,SELLEYS WOOD PUTTY 500G,MVR 65.00,scraped_images_veligaa\06767.jpg
08274,SELLEYS LIQUID NAILS HIGH STRENGTH 35G MINI TUBE,MVR 30.00,scraped_images_veligaa\08274.jpg
08275,SELLEYS LIQUID NAILS HEAVY DUTY 35G MINI TUBE,MVR 35.00,scraped_images_veligaa\08275.jpg
08276,SELLEYS KWIK GRIP 35ML MINI TUBE,MVR 45.00,scraped_images_veligaa\08276.jpg
08277,SELLEYS ALL CLEAR MULTIPURPOSE SEALANT 35G MINI TUBE,MVR 40.00,scraped_images_veligaa\08277.jpg
08278,SELLEYS WET AREA SPEED SEAL 35G MINI TUBE CLEAR,MVR 35.00,scraped_images_veligaa\08278.jpg
08279,SELLEYS SILICONE SEALANT 35ML MINI TUBE,MVR 30.00,scraped_images_veligaa\08279.jpg
08280,SELLEYS ALL FIX MULTIPURPOSE GLUE 30G,MVR 40.00,scraped_images_veligaa\08280.jpg
09984,SELLEYS STORM SEALANT 290ML,MVR 190.00,scraped_images_veligaa\09984.jpg
09528,SELLEYS QUICKFIX SUPA GLUE STAND UP SINGLE 3ML,MVR 25.00,scraped_images_veligaa\09528.jpg
09530,SELLEYS WALL PAPER ADHESIVE 1L (READY MIXED),MVR 165.00,scraped_images_veligaa\09530.jpg
09536,SELLEYS EZI PRESS LIQUID NAILS FAST 130G,MVR 190.00,scraped_images_veligaa\09536.jpg
09537,SELLEYS EZI PRESS NO MORE GAPS MULTIPURPOSE 170G WHITE,MVR 190.00,scraped_images_veligaa\09537.jpg
09538,SELLEYS EZI PRESS WET AREA SILICONE 100G CLEAR,MVR 190.00,scraped_images_veligaa\09538.jpg
09539,SELLEYS LIQUID NAILS LANDSCAPE 415G,MVR 80.00,scraped_images_veligaa\09539.jpg
09986,SELLEYS STICK-UP DOUBLE SIDED MOUNTING TAPE 12MM,MVR 30.00,scraped_images_veligaa\09986.jpg
10807,SELLEYS KWIK GRIP SPRAY CONTACT ADHESIVE,MVR 210.00,scraped_images_veligaa\10807.jpg
10814,SELLEYS NO MORE GAPS (GAP FILLER) TIMBER 380G,MVR 125.00,scraped_images_veligaa\10814.jpg
10815,SELLEYS BRICK & CONCRETE SILICONE SEALANT 415G GREY,MVR 140.00,scraped_images_veligaa\10815.jpg
10817,"SELLEYS 3 IN 1 ADHESIVE, SEALANT & FILLER 75G CLEAR",MVR 105.00,scraped_images_veligaa\10817.jpg
10818,"SELLEYS 3 IN 1 ADHESIVE, SEALANT & FILLER 480G WHITE",MVR 200.00,scraped_images_veligaa\10818.jpg
10821,SELLEYS WHITE FOR LIFE SILICONE SEALANT 300G,MVR 145.00,scraped_images_veligaa\10821.jpg
10824,SELLEYS WHITE FOR LIFE RTU TILE ADHESIVE 1.6KG,MVR 340.00,scraped_images_veligaa\10824.jpg
10835,SELLEYS GLASS SILICONE SEALANT 310G CLEAR,MVR 130.00,scraped_images_veligaa\10835.jpg
10836,SELLEYS PAINT OVER SILICONE SEALANT 410G WHITE,MVR 130.00,scraped_images_veligaa\10836.jpg
10839,SELLEYS ROOF & GUTTER SPRAY SEAL  315G,MVR 495.00,scraped_images_veligaa\10839.jpg
12613,SELLEYS ARMOURFLEX SEALANT 465G,MVR 235.00,scraped_images_veligaa\12613.jpg
12615,SELLEYS SOLARFLEX SEALANT 445G,MVR 235.00,scraped_images_veligaa\12615.jpg
12617,SELLEYS AUTOFIX MARINE SEALANT 310G TRANSLUCENT,MVR 190.00,scraped_images_veligaa\12617.jpg
12618,SELLEYS FLAMEFLEX SEALANT 435G GREY,MVR 200.00,scraped_images_veligaa\12618.jpg
13191,SELLEYS AQUAFIX UNDERWATER EPOXY ADHESIVE 24ML,MVR 75.00,scraped_images_veligaa\13191.jpg
